emp_no,first_name,last_name,birth_date,from_date,to_date
20129,Rafael,Skafidas,1/10/1965,3/28/1991,1/1/9999
20248,Vidar,Demri,1/12/1965,12/31/1999,1/1/9999
20313,Candida,Benveniste,1/24/1965,1/20/1999,1/1/9999
20500,Christoph,Trystram,1/30/1965,10/15/1993,1/1/9999
20885,Otmar,Rothenberg,1/21/1965,3/14/1989,1/1/9999
21181,Jianhui,Cangellaris,1/21/1965,10/6/1991,1/1/9999
21188,Piyush,Danecki,1/21/1965,1/8/2000,1/1/9999
21546,Yongmin,Lanteri,1/1/1965,3/19/2002,1/1/9999
21843,Karsten,Azadmanesh,1/9/1965,11/29/1985,1/1/9999
21909,Mohammed,Brizzi,1/4/1965,12/28/1991,1/1/9999
22185,Huai,Birch,1/29/1965,6/12/2002,1/1/9999
22415,Perla,Jumpertz,1/20/1965,8/24/1994,1/1/9999
22451,Jasminko,Bresenham,1/27/1965,1/19/1994,1/1/9999
22455,Barry,Unno,1/6/1965,11/16/1990,1/1/9999
22926,Manibrata,Genther,1/1/1965,1/15/1988,1/1/9999
23396,Hilari,Fairtlough,1/2/1965,12/15/1986,1/1/9999
24080,Jaana,Perez,1/26/1965,3/11/1996,1/1/9999
24205,Roddy,Rubsam,1/25/1965,9/19/1993,1/1/9999
24377,Lubomir,Wroclawski,1/25/1965,7/25/1993,1/1/9999
24394,Zhonghui,Conta,1/4/1965,9/10/1994,1/1/9999
24553,Anwar,Passafiume,1/12/1965,1/30/1987,1/1/9999
24571,Cordelia,Gischer,1/20/1965,3/14/1989,1/1/9999
25488,Ingmar,Basawa,1/19/1965,11/9/1991,1/1/9999
26629,Nevin,Rodham,1/28/1965,12/14/1998,1/1/9999
26671,Jiakeng,Kalorkoti,1/21/1965,12/25/1994,1/1/9999
26788,Zongyan,Dalphin,1/25/1965,4/23/1988,1/1/9999
27331,Wanqing,Krohm,1/19/1965,1/22/1991,1/1/9999
27378,Piyawadee,Leppanen,1/28/1965,2/25/1999,1/1/9999
27620,Shuji,Kandlur,1/25/1965,3/2/1990,1/1/9999
27686,Manu,Rosiles,1/28/1965,3/3/1998,1/1/9999
27699,Falguni,Pezzoli,1/15/1965,12/23/1996,1/1/9999
27767,Tooru,Veldwijk,1/27/1965,11/21/1993,1/1/9999
28193,Xinglin,Mitsuhashi,1/29/1965,12/14/1988,1/1/9999
28974,Chenxi,Sundgren,1/9/1965,9/2/1986,1/1/9999
28988,Tua,Giveon,1/18/1965,9/9/1998,1/1/9999
29130,Xumin,Thorensen,1/6/1965,4/26/1998,1/1/9999
29265,Gilbert,Calkin,1/14/1965,3/21/1988,1/1/9999
29380,Satoru,Vidal,1/30/1965,5/2/1998,1/1/9999
29418,Valery,Mersereau,1/22/1965,7/1/1998,1/1/9999
29679,Kolar,Steenbeek,1/17/1965,10/18/1986,1/1/9999
29782,Jouko,Hellwagner,1/29/1965,10/23/2000,1/1/9999
29954,Pranay,Giarratana,1/27/1965,9/29/1992,1/1/9999
30007,Kousuke,Vecchio,1/24/1965,2/23/1990,1/1/9999
30035,Tetsushi,Conta,1/8/1965,7/4/1995,1/1/9999
30154,Mayuko,Skafidas,1/26/1965,4/19/1999,1/1/9999
30182,Leon,Potthoff,1/26/1965,12/8/1985,1/1/9999
30465,Randi,Avouris,1/28/1965,7/16/1986,1/1/9999
30484,Sailaja,Chvatal,1/11/1965,5/18/1999,1/1/9999
30695,Gudjon,Majewski,1/8/1965,10/26/1999,1/1/9999
30938,Yakkov,Samarati,1/6/1965,10/10/1997,1/1/9999
31147,Divine,Sidhu,1/4/1965,7/5/1989,1/1/9999
31188,Leandro,Gist,1/12/1965,2/3/1993,1/1/9999
31207,Abdelwaheb,Dulin,1/30/1965,8/5/1993,1/1/9999
31341,Oksana,Zultner,1/1/1965,3/23/1991,1/1/9999
31514,Harngdar,Schapire,1/13/1965,11/9/1996,1/1/9999
31568,Mark,Lalonde,1/10/1965,11/24/1996,1/1/9999
31909,Murthy,Peek,1/10/1965,10/30/2000,1/1/9999
32347,Terresa,Peres,1/8/1965,9/15/1990,1/1/9999
32552,Atreye,Stanger,1/17/1965,9/10/1993,1/1/9999
32649,Ingmar,Nannarelli,1/12/1965,6/10/1988,1/1/9999
32714,Radoslaw,Maliniak,1/16/1965,9/18/2001,1/1/9999
32844,Tadahiko,Melton,1/23/1965,1/7/1995,1/1/9999
33025,Jessie,Thorelli,1/12/1965,12/16/1999,1/1/9999
33215,Steen,Fasbender,1/29/1965,2/14/1993,1/1/9999
33722,Anwar,Collette,1/15/1965,2/3/2001,1/1/9999
34077,Angel,Sichman,1/8/1965,11/16/1988,1/1/9999
34261,Kyoichi,Callaway,1/5/1965,12/30/1990,1/1/9999
34446,Chinhyun,Bauknecht,1/31/1965,12/19/1986,1/1/9999
34452,Naftaly,Foong,1/8/1965,5/10/1991,1/1/9999
34505,Felicidad,Kumaresan,1/28/1965,9/6/1994,1/1/9999
34533,Erzsebet,Shigei,1/10/1965,1/16/1995,1/1/9999
34780,Moni,Kohling,1/16/1965,9/18/2001,1/1/9999
34788,Ennio,Babu,1/27/1965,8/31/1994,1/1/9999
34936,Bokyung,Stamatiou,1/12/1965,2/12/1991,1/1/9999
35044,Jiang,Waschkowski,1/4/1965,5/27/1989,1/1/9999
35087,Leif,Ashish,1/17/1965,10/14/1994,1/1/9999
35441,Chandrasekaran,Peek,1/31/1965,9/17/1990,1/1/9999
35642,Ashish,Talmon,1/30/1965,2/28/1999,1/1/9999
35793,Oscar,Kusalik,1/1/1965,5/11/1991,1/1/9999
35798,Ulf,Oberman,1/29/1965,3/15/1997,1/1/9999
36521,Serif,Gladwell,1/21/1965,3/6/1987,1/1/9999
36626,Fen,Genin,1/2/1965,5/9/1986,1/1/9999
36733,Uma,Reinhard,1/4/1965,11/1/1997,1/1/9999
36844,Hailing,Levergood,1/1/1965,1/12/2000,1/1/9999
36982,Kotesh,Rajala,1/22/1965,6/23/1992,1/1/9999
37070,Jeong,Undy,1/22/1965,2/13/1985,1/1/9999
37945,Suzette,Butterworth,1/2/1965,2/19/1994,1/1/9999
38043,Michaela,Randi,1/5/1965,11/23/1985,1/1/9999
38103,Masasuke,Babu,1/12/1965,3/31/1988,1/1/9999
38168,Fumiko,Deverell,1/14/1965,8/15/1987,1/1/9999
38550,JoAnne,Baez,1/14/1965,2/16/1987,1/1/9999
38593,Huei,Orsini,1/14/1965,6/4/1986,1/1/9999
38947,Shuichi,Ruemmler,1/25/1965,4/8/1998,1/1/9999
39000,Martijn,Vendrig,1/8/1965,3/3/1997,1/1/9999
39036,Changho,Cappelli,1/8/1965,5/4/1996,1/1/9999
39301,Rimon,Kawashima,1/7/1965,2/6/1992,1/1/9999
39341,Mahmut,Lampe,1/1/1965,5/11/1985,1/1/9999
39952,Otmar,Sudbeck,1/2/1965,7/22/1998,1/1/9999
40269,Toshiki,Ghazalie,1/10/1965,12/5/1991,1/1/9999
40283,Sudhanshu,Boissier,1/7/1965,5/11/1985,1/1/9999
40301,Spyrose,Felder,1/20/1965,10/20/1997,1/1/9999
40536,Harngdar,Bernardinello,1/20/1965,2/29/1988,1/1/9999
40765,Michaela,Ramsak,1/1/1965,12/21/1992,1/1/9999
40773,Shimshon,Aingworth,1/9/1965,4/13/1986,1/1/9999
40983,Marla,Cherinka,1/17/1965,12/1/1986,1/1/9999
41114,Petter,Thummel,1/25/1965,12/24/1995,1/1/9999
41137,Bikash,Buchter,1/20/1965,1/8/1996,1/1/9999
41357,Willard,Vernadat,1/6/1965,3/4/1997,1/1/9999
41518,Keung,Schapiro,1/11/1965,2/8/2001,1/1/9999
41520,Xiong,Uhrik,1/20/1965,3/21/1988,1/1/9999
41609,Yucai,Simmen,1/4/1965,10/13/1987,1/1/9999
42778,Shuji,Remmers,1/19/1965,12/18/1987,1/1/9999
42911,Brigham,Eterovic,1/29/1965,10/8/1994,1/1/9999
42950,Shaleah,Eickenmeyer,1/22/1965,10/9/1993,1/1/9999
42955,Yucel,Lortz,1/12/1965,2/21/1995,1/1/9999
43154,Maha,Waterhouse,1/13/1965,7/4/1997,1/1/9999
43733,Huei,Boguraev,1/26/1965,12/31/1993,1/1/9999
43848,Phillip,Oxenboll,1/11/1965,5/26/1999,1/1/9999
44054,Alenka,Ritcey,1/18/1965,2/9/1997,1/1/9999
44265,Maria,Eppinger,1/24/1965,1/30/1997,1/1/9999
44540,Mingzeng,Sadowski,1/16/1965,11/12/1989,1/1/9999
44900,Mark,Schwaller,1/5/1965,8/10/1994,1/1/9999
44959,Volkmar,Uhrik,1/21/1965,1/16/1988,1/1/9999
44962,Sariel,Wynblatt,1/16/1965,5/18/1996,1/1/9999
45162,Dulce,Speel,1/11/1965,10/19/1987,1/1/9999
46000,Zhaofang,Penn,1/26/1965,7/24/1997,1/1/9999
46328,Wuxu,Trogemann,1/5/1965,1/27/1997,1/1/9999
46811,Junsik,Berendt,1/10/1965,4/27/1988,1/1/9999
46834,Tooru,Daescu,1/22/1965,3/20/1998,1/1/9999
46943,Pasqua,Maraist,1/31/1965,12/6/1993,1/1/9999
47016,Toong,Litecky,1/3/1965,3/1/1989,1/1/9999
47139,Marco,Usdin,1/25/1965,10/29/1996,1/1/9999
47262,Gonzalo,Binkley,1/10/1965,8/16/1985,1/1/9999
47515,Naraig,Jenevein,1/26/1965,1/18/1987,1/1/9999
47702,Juyoung,Vieri,1/21/1965,8/12/1991,1/1/9999
47708,Edwin,Haldar,1/5/1965,7/12/1995,1/1/9999
48275,Sariel,Massonet,1/29/1965,11/20/1987,1/1/9999
48690,Hitomi,Schaap,1/12/1965,9/27/1999,1/1/9999
48882,Leen,Lamparter,1/28/1965,6/7/1993,1/1/9999
48904,Yuichiro,Malabarba,1/23/1965,3/7/1994,1/1/9999
48947,Filipp,Akaboshi,1/5/1965,5/20/1992,1/1/9999
49010,Kazuhisa,Benantar,1/16/1965,3/30/1990,1/1/9999
49017,Filipp,Flanders,1/7/1965,11/26/1990,1/1/9999
49119,Lena,Peek,1/9/1965,5/16/1991,1/1/9999
49177,Tze,Bach,1/3/1965,3/9/1999,1/1/9999
49464,Siddarth,Cappelletti,1/14/1965,9/10/1999,1/1/9999
49477,Baocai,Leaver,1/14/1965,8/5/1998,1/1/9999
50293,Xinan,Rindone,1/26/1965,10/8/1996,1/1/9999
50311,Mooi,Stafford,1/24/1965,10/6/1996,1/1/9999
50453,Aron,Harbusch,1/12/1965,10/2/1997,1/1/9999
50670,Boguslaw,Snedden,1/30/1965,2/20/1985,1/1/9999
50831,Marie,Khalid,1/6/1965,6/11/1996,1/1/9999
51036,Chriss,Fasbender,1/29/1965,5/23/1995,1/1/9999
51057,Theirry,Albarhamtoshy,1/29/1965,9/27/1991,1/1/9999
51060,Youngkon,Rohrbach,1/15/1965,10/20/1989,1/1/9999
51142,Rosine,Lakshmanan,1/29/1965,1/31/1986,1/1/9999
52038,Chikako,Armand,1/13/1965,5/18/1985,1/1/9999
52040,Phule,Heijenga,1/14/1965,12/8/1996,1/1/9999
52283,Trygve,Krupka,1/20/1965,3/11/1994,1/1/9999
52386,Adas,Denti,1/28/1965,5/30/1986,1/1/9999
52590,Jouni,Munoz,1/21/1965,10/7/1996,1/1/9999
52599,Augustine,Mungall,1/25/1965,1/13/1994,1/1/9999
52639,Arup,Colorni,1/9/1965,2/5/1996,1/1/9999
52770,Shugo,Yurek,1/31/1965,8/28/1992,1/1/9999
52778,Alain,Penn,1/15/1965,5/3/1986,1/1/9999
52956,Khalil,Picci,1/31/1965,11/24/1998,1/1/9999
52970,Lobel,Werthner,1/22/1965,3/17/1988,1/1/9999
53278,Premsyl,Lortz,1/31/1965,2/1/1993,1/1/9999
53314,Eberhardt,Carrera,1/6/1965,2/23/1999,1/1/9999
53431,Sham,Vasanthakumar,1/12/1965,5/24/1993,1/1/9999
53499,Zdislav,Mandelberg,1/20/1965,9/11/1994,1/1/9999
53597,Jiafu,Marchegay,1/30/1965,3/2/1985,1/1/9999
53874,Bodo,Schade,1/23/1965,2/14/1986,1/1/9999
53924,Arnould,Gaughan,1/27/1965,1/23/1991,1/1/9999
54198,Shaowen,Segond,1/1/1965,1/6/1986,1/1/9999
54632,Etsuo,Serot,1/19/1965,6/14/1989,1/1/9999
54795,Sumant,Nergos,1/29/1965,3/2/1994,1/1/9999
54800,Breannda,Cangellaris,1/13/1965,1/27/2000,1/1/9999
55640,Adit,Syrotiuk,1/25/1965,7/16/1993,1/1/9999
55687,Shih,Lindqvist,1/2/1965,3/29/1995,1/1/9999
55799,Jianwen,Litzler,1/23/1965,6/17/1987,1/1/9999
55857,Adin,Scallan,1/18/1965,9/15/1987,1/1/9999
56105,Makato,Remmers,1/11/1965,4/16/1989,1/1/9999
56209,Remzi,Douceur,1/19/1965,12/1/1992,1/1/9999
56415,Sigeru,Nivat,1/30/1965,10/24/1991,1/1/9999
56428,Olivera,Hanabata,1/27/1965,11/10/1986,1/1/9999
56682,Roded,Picco,1/28/1965,11/6/1993,1/1/9999
56829,Nagui,Gruenwald,1/9/1965,6/14/1997,1/1/9999
56847,Menkae,Chinin,1/14/1965,8/27/1998,1/1/9999
57934,Sanjoy,Boudaillier,1/25/1965,12/27/1989,1/1/9999
58141,Bezalel,Karner,1/5/1965,9/27/1994,1/1/9999
58147,Shigenori,Sullins,1/9/1965,2/24/1988,1/1/9999
58384,Mariusz,Vural,1/22/1965,11/14/1993,1/1/9999
58454,Ziya,Zambonelli,1/25/1965,6/29/1999,1/1/9999
58497,Yechiam,Cairo,1/22/1965,10/21/2000,1/1/9999
58819,Gennady,Liesche,1/4/1965,12/2/1987,1/1/9999
58990,Palash,Trelles,1/4/1965,11/18/1998,1/1/9999
59195,Ronnie,Pollock,1/8/1965,6/19/1990,1/1/9999
59640,Zita,Hiltgen,1/18/1965,1/26/1999,1/1/9999
59869,Zsolt,Riefers,2/1/1965,9/25/1987,1/1/9999
59966,Steen,Salvesen,1/28/1965,2/3/1993,1/1/9999
60000,Heekeun,Emmart,1/16/1965,9/23/1995,1/1/9999
60091,Surveyors,Bade,2/1/1965,4/11/1990,1/1/9999
60238,Erzsebet,Claffy,1/23/1965,2/19/1999,1/1/9999
60559,Jeanna,Stemann,1/19/1965,8/29/1988,1/1/9999
60821,Moty,Mersereau,1/2/1965,9/3/1991,1/1/9999
60845,Bedir,Siegrist,1/14/1965,5/13/1997,1/1/9999
60875,Rildo,Masaki,1/21/1965,1/14/1990,1/1/9999
60959,Tetsushi,Sridhar,1/9/1965,10/19/1989,1/1/9999
61147,Leszek,Werthner,1/30/1965,3/3/1999,1/1/9999
61253,Cheong,Uhrik,1/9/1965,5/9/2002,1/1/9999
61377,Dannz,Ohori,1/1/1965,4/13/1997,1/1/9999
61541,Kasidit,Papsdorf,1/8/1965,8/17/1993,1/1/9999
61873,Woody,Rusmann,1/19/1965,2/26/1993,1/1/9999
62033,Heeju,Cappelli,1/24/1965,1/15/1987,1/1/9999
62046,Karlis,Nanard,1/31/1965,9/19/1992,1/1/9999
62245,Adel,Bressoud,1/1/1965,8/30/1995,1/1/9999
63294,Tetsushi,Tanemo,1/23/1965,3/1/1997,1/1/9999
63419,Hiroyasu,Seuren,1/14/1965,3/5/1989,1/1/9999
63441,Hinrich,Scallan,1/15/1965,4/4/1999,1/1/9999
63566,Heekeun,Slaats,1/31/1965,1/12/1999,1/1/9999
63631,Falguni,Cherinka,1/22/1965,10/15/1987,1/1/9999
63706,Sedat,Itzigehl,1/26/1965,7/31/1997,1/1/9999
64023,Laurentiu,Benzmuller,1/11/1965,11/8/1999,1/1/9999
64209,Golgen,Schoegge,1/24/1965,2/26/1988,1/1/9999
64487,Tsutomu,Rebaine,1/27/1965,9/17/1986,1/1/9999
64532,Atilio,Segond,1/23/1965,11/29/1990,1/1/9999
64632,Zsolt,Brender,1/7/1965,2/21/1996,1/1/9999
64790,Shin,Piveteau,1/29/1965,4/19/1985,1/1/9999
64828,Krister,Pappas,1/27/1965,9/30/1999,1/1/9999
64984,Eldridge,Eldridge,1/6/1965,8/4/1994,1/1/9999
65171,Jeane,Tasistro,1/25/1965,7/6/1994,1/1/9999
65539,Aksel,Picaronny,1/23/1965,1/27/1991,1/1/9999
65883,Patricia,Pepe,1/7/1965,4/19/1991,1/1/9999
65998,Mandell,Alameldin,1/9/1965,4/8/1989,1/1/9999
66382,Domenico,Candan,1/4/1965,7/13/1997,1/1/9999
66530,Dung,Leaver,1/29/1965,4/4/1998,1/1/9999
66643,Jianhao,Tomescu,1/18/1965,8/26/1996,1/1/9999
66702,Deniz,Thibadeau,2/1/1965,9/27/1994,1/1/9999
66757,Yonghong,Baig,1/16/1965,4/10/1999,1/1/9999
66807,Aiman,Rosaz,1/21/1965,5/22/1990,1/1/9999
67320,Sadok,Lorys,1/18/1965,5/10/1987,1/1/9999
67548,Fumitaka,Roohalamini,1/11/1965,6/27/1998,1/1/9999
67934,Aiman,Gargeya,1/7/1965,3/7/1985,1/1/9999
68416,Munenori,Debuse,1/27/1965,11/8/1990,1/1/9999
68608,Yucai,Seghrouchni,1/26/1965,6/9/1989,1/1/9999
68633,Chinhyun,Rassart,1/28/1965,7/29/1993,1/1/9999
68648,Jaques,DiGiano,1/25/1965,4/1/1992,1/1/9999
69052,Shietung,Shrader,1/26/1965,8/5/1995,1/1/9999
69219,Shuky,Redmiles,1/9/1965,11/19/1994,1/1/9999
69867,Miyeon,Rothe,1/22/1965,4/9/1991,1/1/9999
69878,Chinya,Cooke,1/24/1965,1/29/1997,1/1/9999
69936,Lalit,Unni,1/23/1965,1/31/1999,1/1/9999
70469,Tru,Miyakawa,1/12/1965,9/3/1990,1/1/9999
70990,Arumugam,Nitta,1/22/1965,3/23/1990,1/1/9999
71066,Domenick,Basart,1/27/1965,1/5/1996,1/1/9999
71141,Sajjad,Vitiello,1/2/1965,2/17/1992,1/1/9999
71188,Pranjal,Schapiro,1/2/1965,12/14/1986,1/1/9999
71243,Kinh,Buchter,1/10/1965,3/29/1986,1/1/9999
71334,Cathie,Peck,1/15/1965,3/4/2001,1/1/9999
71685,Kristinn,Olano,1/1/1965,10/3/1989,1/1/9999
71710,Hitomi,Takanami,1/31/1965,12/15/1997,1/1/9999
71745,Adil,Laventhal,1/2/1965,5/13/1992,1/1/9999
72190,Sajjad,Waeselynck,1/19/1965,9/13/1999,1/1/9999
72194,Feiyu,Siepmann,1/26/1965,10/1/1998,1/1/9999
72232,Naraig,Veldwijk,1/10/1965,7/10/1989,1/1/9999
72640,Honglan,Hutton,1/24/1965,10/4/1993,1/1/9999
72918,Takahira,Szilard,1/22/1965,1/16/1988,1/1/9999
73076,Froduald,Feldhoffer,1/22/1965,3/16/1993,1/1/9999
73233,Shigeo,Merey,1/15/1965,7/30/1985,1/1/9999
73516,Qingxiang,Badache,1/14/1965,6/25/1989,1/1/9999
73743,Anneke,Bernardeschi,1/15/1965,10/15/2000,1/1/9999
74200,Holgard,Weiland,1/16/1965,9/24/1991,1/1/9999
74344,Hiroyasu,Provine,2/1/1965,11/25/1994,1/1/9999
74668,Masako,Bonifati,1/1/1965,4/9/1987,1/1/9999
74800,Yuuichi,Conde,1/25/1965,3/8/1989,1/1/9999
75354,Shuky,Jakobus,1/11/1965,6/16/1986,1/1/9999
75703,Kyoichi,Erman,1/8/1965,7/25/1996,1/1/9999
76189,Kolar,Hinsberger,1/2/1965,10/20/1986,1/1/9999
76201,Arif,Preusig,1/10/1965,4/2/1992,1/1/9999
76640,Tristan,Mitsuhashi,1/2/1965,7/13/1994,1/1/9999
77030,Faiza,Garnham,1/2/1965,3/2/1986,1/1/9999
77303,Xinglin,Birge,1/18/1965,3/5/1992,1/1/9999
77647,Niranjan,Schaaf,1/7/1965,11/5/1989,1/1/9999
77815,Ronghao,Picaronny,1/21/1965,6/9/1993,1/1/9999
78106,Ashish,Ratnaker,1/9/1965,1/17/2000,1/1/9999
78363,Susumu,Fritzsche,1/3/1965,6/23/1998,1/1/9999
78469,Leucio,Cappelli,1/28/1965,8/22/1997,1/1/9999
78871,Conor,Ghandeharizadeh,1/15/1965,5/25/1985,1/1/9999
79043,Katsuo,Hockney,1/24/1965,11/7/1999,1/1/9999
79171,Guiseppe,Ellozy,1/19/1965,1/12/1991,1/1/9999
79310,Jeong,Cunliffe,1/24/1965,10/27/1996,1/1/9999
79606,Arnd,Peir,1/3/1965,12/11/1986,1/1/9999
79763,Sanjoy,Barreiro,1/20/1965,4/9/1988,1/1/9999
79895,Fei,Murtagh,1/30/1965,1/19/1986,1/1/9999
80067,Kazuhisa,Weiland,1/19/1965,11/9/1985,1/1/9999
80203,Shakhar,Baik,1/22/1965,12/1/1993,1/1/9999
80432,Stella,Figueira,1/17/1965,3/14/1990,1/1/9999
80731,Shaowen,Eldridge,1/25/1965,12/5/1987,1/1/9999
80850,Koldo,Luit,2/1/1965,4/16/1995,1/1/9999
80889,Shigeo,Linnainmaa,1/7/1965,7/30/1985,1/1/9999
80948,Harjit,Bardell,1/27/1965,5/24/1991,1/1/9999
81105,Jaewon,Boissier,1/14/1965,5/24/1992,1/1/9999
81545,Larisa,Kornyak,1/13/1965,2/7/2000,1/1/9999
81644,Divine,Ghandeharizadeh,1/5/1965,11/28/1997,1/1/9999
81995,Sreekrishna,Brender,1/10/1965,3/22/1990,1/1/9999
82069,Yechezkel,Perfilyeva,1/20/1965,11/3/1994,1/1/9999
82098,Poornachandra,Wilharm,1/25/1965,4/20/1991,1/1/9999
82351,Stevo,Thambidurai,1/26/1965,10/27/1989,1/1/9999
82511,Uwe,Koblick,1/27/1965,4/4/1998,1/1/9999
82919,Shigeu,Claffy,1/5/1965,12/19/1998,1/1/9999
82928,Alselm,Rikino,1/27/1965,11/16/1990,1/1/9999
83280,Francesca,Ellozy,1/7/1965,8/8/1999,1/1/9999
83289,Shigeichiro,Engelmann,1/9/1965,1/9/1994,1/1/9999
83509,Breannda,Collavizza,1/4/1965,10/12/1989,1/1/9999
83544,Leaf,Baak,1/18/1965,9/5/1994,1/1/9999
83714,Ohad,Kilgore,1/27/1965,10/10/2000,1/1/9999
83805,Manohar,Harllee,1/23/1965,3/11/1987,1/1/9999
83941,Zsolt,Hagimont,1/11/1965,10/8/1996,1/1/9999
84029,Babette,Eugenio,1/27/1965,9/21/1997,1/1/9999
84179,Shuichi,Nanard,1/25/1965,3/14/1989,1/1/9999
84236,Eberhardt,Barriga,1/18/1965,6/4/1987,1/1/9999
84315,Kristina,Baumann,1/23/1965,9/26/1996,1/1/9999
84451,Shiv,Aumann,1/20/1965,6/14/1998,1/1/9999
84508,Tommaso,Vidya,1/17/1965,5/2/1998,1/1/9999
84840,Sverrir,Neimat,1/14/1965,11/3/1996,1/1/9999
84922,Parke,Unno,1/22/1965,7/1/1996,1/1/9999
84942,Shin,Fujisaki,1/15/1965,2/23/1988,1/1/9999
85216,Ferdinand,Rosiles,1/18/1965,7/8/1997,1/1/9999
85288,Younwoo,Luders,1/6/1965,12/8/1998,1/1/9999
85414,Chiradeep,Callaway,1/14/1965,7/30/1999,1/1/9999
85445,Yongdong,Pollock,1/9/1965,3/17/1998,1/1/9999
85702,Udi,Merks,1/4/1965,8/15/1997,1/1/9999
85874,Pasqua,Taubman,1/30/1965,6/23/1986,1/1/9999
86213,Kristine,Clemencon,1/28/1965,6/1/1993,1/1/9999
86354,Ronghao,Segond,1/27/1965,9/13/1993,1/1/9999
86422,Jaewon,Thummel,2/1/1965,9/14/1985,1/1/9999
86546,Oldrich,Woycyznski,1/9/1965,5/15/1985,1/1/9999
86655,Zhenhua,Lorys,1/1/1965,8/21/1995,1/1/9999
86672,JoAnne,Anido,1/15/1965,9/15/1995,1/1/9999
87129,Keung,Neiman,1/16/1965,4/13/1997,1/1/9999
87353,Quingbo,Coombs,1/7/1965,1/17/1999,1/1/9999
87714,Khun,Janetzko,1/16/1965,9/13/1989,1/1/9999
87729,Yongmin,Roccetti,1/24/1965,12/10/1986,1/1/9999
87783,Conor,Thorensen,1/26/1965,2/24/1988,1/1/9999
88103,Goo,Bresenham,1/9/1965,1/31/1999,1/1/9999
88411,Lena,Cannane,1/31/1965,1/28/2000,1/1/9999
88422,Jungsoon,Birsak,1/28/1965,4/3/1985,1/1/9999
88647,Vasiliy,Ratnaker,1/10/1965,8/9/1995,1/1/9999
88958,Vojin,Coombs,1/22/1965,7/23/1995,1/1/9999
88965,Mang,Hedayat,1/20/1965,5/22/1995,1/1/9999
89048,Otmar,Birjandi,1/24/1965,3/23/1985,1/1/9999
89090,Tetsushi,Theuretzbacher,1/26/1965,2/1/1990,1/1/9999
89161,Conal,Yetto,1/7/1965,1/12/1991,1/1/9999
89207,Along,Erol,1/15/1965,10/16/1992,1/1/9999
89346,Mansur,Comyn,1/13/1965,8/31/1999,1/1/9999
89590,Guther,Rothenberg,1/27/1965,8/8/1991,1/1/9999
89664,Pranjal,Rossi,1/20/1965,7/7/1998,1/1/9999
89680,Aiman,Mawatari,1/27/1965,5/1/1988,1/1/9999
89806,Xiadong,Shinomoto,1/27/1965,5/24/1997,1/1/9999
